i,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
30,881750,1038638,1038701,155936,715876,960498,755183,816799,352228,664733,27254,166406
31,141543,970422,846896,254796,835536,840599,73367,546797,488642,996941,343159,1041586
32,251448,166645,297049,607509,445595,176413,264422,587157,97419,380502,401236,455675
33,926110,714067,37601,211846,295644,969619,844409,209846,873525,785265,50809,381084
34,103599,273953,456695,456722,866658,179817,14643,654957,670423,673124,783361,177816
35,325010,713495,619744,933063,705936,858484,1029671,891840,89742,432834,781264,529700
36,459794,703322,900596,323210,979105,860440,993150,228075,1016717,610424,179950,956954
37,395600,234750,367245,1036347,773076,990216,659446,70218,162617,706038,146839,4240
38,953037,257407,852972,96196,352366,141516,789518,220041,494409,1047304,526259,297286
39,1016838,284995,426214,37531,762149,727880,587256,726651,969247,925953,596802,460723
40,277217,171309,509573,172277,519992,285035,513361,819057,799874,884396,497517,275986
41,458626,1010706,768155,456703,675059,992102,647105,775323,1016314,376402,576123,146766
42,469269,997553,566553,379888,452809,882862,22675,188177,964246,71858,445420,338733
43,878084,817264,899768,856245,32446,558662,101571,764440,952660,292738,120239,597702
44,106117,861184,277416,496559,318652,754928,1031171,131501,309443,227774,25006,758909
45,951932,856165,490736,362969,964740,186793,848697,130464,80703,393849,223124,412493
46,588476,657702,13313,713734,589229,762069,894183,628606,402584,469277,655180,735759
47,793987,129909,258066,606627,969204,407651,950840,797950,76126,793036,219512,50284
48,464008,243469,495052,876371,740379,570262,710645,57795,422388,919075,518645,510038
49,1015541,955054,61371,103772,838651,344970,91093,117390,166112,278078,74330,868100
50,325832,113417,482463,371940,975658,938176,995887,480833,552366,935556,774584,895951
51,964954,112867,443223,134513,286215,768248,964426,1020638,257800,498123,320252,124380
52,1047430,765408,272153,674722,648742,961443,925357,992963,86620,958205,512553,188441
53,669432,895721,761076,195112,855713,995702,965084,712951,465844,675196,110266,682179
54,396243,141881,205173,346629,947874,39467,547878,486991,153101,286688,780376,374132
55,459852,1031033,103154,695115,169658,493519,180946,142833,807368,608880,549852,879163
56,917658,436072,527638,649825,200748,761350,599493,611299,322878,1037083,1028809,728567
57,131988,556161,811314,594455,467331,838685,554626,723101,820138,1034791,248739,1013253
58,753192,200725,300779,743537,725487,331250,245572,165801,623118,518809,595416,1004253
59,637723,680903,508633,788141,860210,404320,407827,42059,625229,690072,381635,353977
60,335976,114842,381261,413949,741337,310714,99739,980591,173373,101576,726276,16630
61,366041,962311,646068,94388,833979,381950,136221,874441,24656,50309,379763,770803
62,1013903,874998,496531,1428,848009,736009,1003279,426246,397942,814236,803722,448437
63,676122,842106,833813,723569,638614,589465,987210,1029732,571477,208796,215726,258615
64,340321,721100,347060,463241,339720,405935,750919,624875,954398,614800,790175,47916
65,875393,399099,90282,240024,806079,949339,130105,273773,897274,909831,717960,982076
66,481316,926192,730930,603803,204001,180356,537566,398720,149583,17389,615182,154256
67,1012803,146270,725827,645943,534483,123656,50849,505122,781809,1039680,326090,938308
68,777464,312969,195525,566640,847862,628934,505351,700614,722371,921733,835961,777440
69,82404,688242,242131,511476,273940,620136,440695,994918,534905,119828,1048303,70148
70,887922,72307,47065,368876,802060,744560,534136,333095,605460,774226,1832,399336
71,708844,692759,657894,861204,156393,511177,963628,936600,791694,298935,221806,86859
72,124911,773268,892911,459475,54299,163788,76411,34126,858696,778912,464996,723547
73,192513,697261,58878,660740,984542,81132,567628,44387,1020077,561635,972157,1027553
74,454588,941567,484590,951840,80893,771440,637914,41907,671438,728441,612206,714846
75,616302,757899,596222,341160,498671,792656,468364,423293,604765,515644,529427,28853
76,267440,632393,130590,887206,542167,566911,514006,180785,954415,651545,508952,265638
77,337000,937686,1023355,206297,927815,298276,377712,108907,456647,557365,224174,975987
78,669012,439757,519026,875043,174830,46640,935589,111461,714231,62144,748012,377656
79,590443,660388,664933,475843,567240,514008,923497,924001,477408,308046,189098,674038
80,692760,14046,880403,141488,653375,177314,421760,480812,1002018,268177,5101,46954
81,397078,731466,549361,153623,797212,425474,84854,328149,661767,538787,39016,538175
82,818073,962774,579993,364040,963844,165436,1006465,94884,604539,386344,688692,824126
83,619221,387918,755260,351545,51957,130568,47564,277320,1004569,882136,856185,764246
84,862589,655599,923136,76403,298892,399336,592243,1024862,904139,636109,724424,303858
85,60622,817633,659051,872517,701437,887025,75341,973432,34655,1014611,678578,276883
86,524226,298894,357866,227500,186713,473814,417184,263641,242182,109694,384413,234151
87,56039,383001,238801,763333,998546,310116,328978,278296,885818,693415,868510,848520
88,879720,604330,717046,234926,670911,523048,1006502,783910,448256,644753,811175,357580
89,408289,537729,1034077,592744,414011,277210,1005163,739586,60720,765938,332361,36522
90,1001879,488710,587817,371287,410915,125588,770188,27060,534213,908981,886148,591584
91,399352,846949,770727,5201,280445,881806,3827,313823,872518,278536,221384,668805
92,695602,573941,40565,486833,633524,853328,312829,825677,460912,422500,775172,729181
93,140074,172342,769694,113600,522669,474272,269449,813686,1001249,132512,188653,726887
94,694272,187781,125265,469208,946930,463577,997325,1004806,164418,137348,868710,881093
95,164620,260313,62497,765417,702633,662007,554419,128085,115531,18141,35120,957775
96,170279,346140,380663,702683,505074,793660,460777,533074,1034166,897995,297647,551865
97,584182,500900,754710,408579,439826,543355,724419,932543,953911,799956,749166,92706
98,676224,441629,845095,581290,921305,306728,712053,281382,927076,201088,565698,70195
99,265572,646621,551853,897382,676666,275473,545632,520235,703197,1030351,142322,520384
100,623268,934677,947535,66389,662697,204115,347730,260654,297637,61727,339815,714094
101,1019863,873844,504244,232795,776634,459065,85605,73296,108471,457075,502977,969826
102,1040022,328040,382388,254009,9551,499084,944278,581523,1008585,359961,828906,476710
103,169580,779742,185377,460866,34973,498037,41249,377637,18687,18843,954548,747068
104,960282,863436,631468,858067,758905,1033,198503,529872,722079,465581,246730,528996
105,284207,423820,456104,550560,263558,144094,730537,918204,570201,747997,205427,669129
106,360935,790520,631653,623128,1006391,968835,236357,355149,599431,458902,398287,351056
107,22338,798179,451953,1045425,676681,453608,844768,549399,1012628,124385,522885,924763
108,655059,627221,474007,409095,884088,2577,138556,440978,873190,757030,173667,373964
109,868169,88564,72059,1044570,247165,451754,816557,1047721,79697,418919,911241,146540
110,259252,980197,209860,557908,465569,173993,468815,591963,720050,430870,85252,135334
111,451662,65570,970893,536875,434441,293220,1008659,793888,18744,100961,872709,138010
112,772916,606120,41177,954329,890780,537262,597841,474665,411306,485212,487091,271871
113,351475,237068,243965,594656,186824,370170,510435,808052,134693,642456,504532,594514
114,333950,757457,399045,546145,196906,542002,928737,913859,496866,784110,950677,527770
115,294560,763326,68069,815052,374348,986029,486812,203416,495472,629746,468249,912116
116,551074,602755,331346,723637,285403,405503,609220,611561,390625,329680,489593,785038
117,44924,389260,10553,664685,101145,335566,110174,259487,262923,484463,800415,664375
118,967745,574157,376497,901294,188219,164969,487126,180323,545312,945180,270011,847726
119,988468,724945,328969,856338,447085,666844,35510,656018,570382,302928,971048,812275
120,742273,805585,201942,201828,711067,247581,910467,282890,167077,906852,479012,397916
121,570736,20677,817196,971581,89965,699811,909329,270074,824864,403395,797488,1038396
122,116404,498294,255600,570843,767894,642072,851048,609051,136667,83714,1043130,849635
123,589604,400286,473898,604958,923257,427795,508795,1018433,58959,150481,601211,244597
124,207371,542770,496850,234256,260987,554280,719700,133654,748798,837803,170569,822742
125,843980,486733,535455,458449,1005365,164524,364783,295583,845067,835684,164131,545646
126,49890,285348,551563,253865,961630,821752,503079,753862,93022,197405,389086,167881
127,180068,892167,676685,28542,709356,118989,709743,178441,375688,697286,77468,725087
128,1015304,381719,836045,151122,508265,92527,720978,297363,422337,365361,607023,982252
129,958663,689031,954047,781501,913709,1035529,558688,810462,401411,264040,706089,646226
130,970125,860127,446182,875237,214235,504851,782347,804804,363884,199305,15724,308395
131,607067,260387,804393,672040,540030,463594,946170,33601,606740,980858,876354,851113
132,507824,625971,1000328,877597,236545,178427,959803,856198,341173,506501,400610,277296
133,392828,240587,768595,536885,1014639,751030,937496,357220,840502,241704,608437,383772
134,767448,451388,474453,391367,476389,341019,189523,689003,635742,810914,770497,319317
135,664157,17452,932873,203898,91434,895150,302546,220376,953819,922641,287897,115950
136,460625,690334,60429,222120,947451,671517,528471,252190,154426,628442,137348,948952
137,148564,426224,537961,637229,171708,89469,18136,645366,45927,642806,76153,127698
138,454055,861129,296593,688221,60229,18525,68448,254929,201631,453126,747895,227652
139,477619,615549,697562,169628,927704,19778,857403,623746,666107,696635,162586,341650
140,837183,551814,961111,313472,988007,903618,608897,219613,490430,389304,35849,253169
141,775742,23548,504012,867647,932649,938980,386496,473240,964932,202909,74066,412093
142,639931,187311,108208,204550,1037901,853197,175072,544587,585255,678424,230872,191949
143,129751,283740,501212,944445,142572,200978,792632,56040,680454,240163,334784,94025
144,618202,882784,586016,1041595,420609,912588,268322,134893,354589,988310,108071,391505
145,581974,871536,990010,107423,463222,720380,206735,855764,1018760,175214,650130,183543
146,602415,951873,319836,866584,93884,821411,967653,157120,1038895,992479,959584,767240
147,488753,132531,1014463,42928,708311,33713,614681,666537,392244,346785,635499,72891
148,111443,12679,530868,223891,224010,507561,785163,122433,600344,517472,530609,24510
149,668835,482122,977495,605270,266161,853504,518355,619440,279776,126549,261150,976413
150,640190,938045,728174,121981,499571,566446,622223,744522,914320,484408,548502,632485
151,71851,397128,558325,853361,99081,1001891,292228,443443,86535,58346,580181,989913
152,714219,285497,448998,710530,128170,200169,478734,267856,177362,127044,205539,259018
153,812919,495486,218239,494936,807028,922349,718303,51252,855702,799873,764775,886229
154,313974,290733,26538,513929,432128,906851,249264,150579,504635,541710,149320,178780
155,665039,225344,765064,554726,384719,155438,420628,697927,19988,1000116,852025,560066
156,989248,937036,871611,237345,881960,838199,474522,145477,565210,461523,207453,648839
157,392092,169995,706400,24151,8153,836329,566230,129246,201362,452842,893562,885186
158,817823,46201,490191,762141,768027,960376,731975,1025417,853054,214116,307472,704725
159,463994,33982,491377,106305,790738,631739,376466,948246,654338,457234,494511,818808
160,350777,539379,696420,47585,296593,993424,874055,647810,188803,635827,122961,185840
161,1003335,1004501,68861,403352,850808,578968,876824,299870,885934,207749,488230,404558
162,538802,334126,296207,529188,29604,114858,232079,836569,829428,1034759,174616,220257
163,170474,1026653,844225,965177,317027,564733,150593,601580,210249,545605,46646,643039
164,364563,1030430,583317,780732,827461,720338,766843,601936,30210,889592,474671,745179
165,973621,741093,565107,709609,515885,225402,575621,611083,1030512,219789,901951,610510
166,491320,909187,876577,331011,612784,601654,78358,991842,301424,836111,987674,600903
167,183323,619838,1038417,805614,712731,461403,1010591,812582,592670,663025,26864,241640
168,850143,178309,690982,164128,58780,111347,994039,202640,301345,466935,826012,574208
169,344091,30554,408756,105607,108024,777531,793525,814796,447265,770348,457177,192759
170,766629,439317,280454,581887,328222,550585,353712,821791,925826,907557,348189,910594
171,958938,436276,901343,995344,298271,712664,962396,724054,683483,771319,704298,332698
172,404005,511495,204938,949503,875846,700618,952331,396722,888750,870729,59433,114754
173,485446,570045,153267,965867,867992,290599,83679,121751,351562,86000,525868,314907
174,30811,102770,54764,137007,807716,375783,94562,18475,682408,135689,281589,243952
175,331199,497321,627795,840612,494810,356431,441995,720435,944450,290762,587565,515456
176,478939,851443,108843,74827,367654,980402,380738,417282,967580,48753,445033,341611
177,1042616,646395,575651,572437,928437,909421,496652,952774,343665,150501,450390,998129
178,507197,416268,641776,1005244,546100,864356,584639,842509,291213,952205,844535,482008
179,347362,101971,764070,513886,804822,549472,747259,790901,156368,6803,303697,16834
180,910782,78512,548475,98619,804016,88108,36311,14097,298830,1041602,147036,997233
181,525223,905736,766812,490432,977286,892979,850895,616185,10360,39819,756967,445585
182,787981,886740,254265,507515,1012834,213337,610585,647294,475532,977137,890187,59933
183,766731,755335,731153,834217,926022,499951,690961,254914,214867,1013457,634522,604805
184,271647,407496,372462,294254,103943,743823,1027191,960954,971890,745708,149048,323123
185,701860,415722,440727,343757,63646,956991,834439,896046,636830,873836,944102,863903
186,261307,390891,22358,907790,693313,910109,897242,763286,548597,292542,881822,658667
187,676275,208405,190132,102716,350649,448558,349665,942920,279192,698192,809003,544403
188,643988,1042098,535167,455450,848630,826091,134710,633240,474301,855331,27100,1001864
189,1022337,77726,955220,939543,878186,307397,687315,539662,542126,136239,770012,142134
190,996799,614929,275172,465809,995002,464770,416758,761290,760455,243844,1810,738972
191,67586,790711,403,169053,224202,36089,297219,65965,491399,531757,801531,668096
192,231338,627363,1046630,449221,373593,772310,651785,127817,793165,145595,452579,625849
193,141692,952395,3082,509973,494670,160780,570142,832181,987484,421042,451238,274021
194,415109,309874,452037,163856,205218,896737,714400,576644,649855,900670,949777,191234
195,114657,119299,62545,59097,869643,681336,1034174,170768,29681,352463,102680,113564
196,594702,806967,887007,716319,215003,135597,928523,641864,28745,381965,945737,589481
197,157171,1022170,471474,570114,965518,989017,385581,748349,158336,565440,979542,796772
198,775799,315925,266444,511492,836555,180113,239396,598284,1037528,716206,1043784,523055
199,313999,269344,354399,669047,117119,857845,663351,355194,420761,691884,239678,651112
200,69801,374682,1027778,957958,894012,391678,520962,336088,453048,12549,111163,800588
201,1010407,930875,380538,146814,50301,39291,636335,320503,460413,194567,159218,119535
202,812142,952055,405431,987522,522001,857238,460466,906403,569020,337330,258374,466353
203,294511,693123,325968,222470,90924,734528,735311,65041,569180,991528,808464,669517
204,979613,634966,175339,579429,274227,300231,514902,875828,619643,122383,740986,69617
205,852704,671934,405617,680141,763636,1042049,69677,230346,781328,296299,302536,333983
206,392980,248815,884912,716909,597009,306759,960555,334855,329923,502145,29145,17377
207,950623,787146,482080,221038,397229,598776,46765,123564,892667,896113,28225,862858
208,864627,262178,568329,931912,143359,282681,247691,625458,570989,7607,841497,539862
209,153000,948798,958511,410256,479079,135101,889597,332420,54593,263317,151292,533359
210,207037,1038421,682844,231077,701403,600827,930152,309378,296804,378158,941342,827073
211,463925,410862,477786,543465,723646,779623,502361,1024743,540665,443695,81497,631095
212,865939,470679,150437,224228,37643,593650,207299,921081,116064,960400,905381,434211
213,615272,49306,326432,233902,682535,332181,485630,643644,547228,1003887,249597,735524
214,96206,242217,181420,171040,130428,824100,699010,858801,1008676,871756,566134,341018
215,90599,185142,787947,425320,657704,691830,590716,179347,146817,417167,292147,174749
216,965660,637305,1015353,911175,979031,445631,107509,432054,530389,1020095,820770,516005
217,553332,333942,697346,259796,437829,162526,551859,435167,286787,796314,519269,864880
218,239114,184069,633758,153761,833456,305000,121881,171270,476581,315119,1025628,373629
219,281586,228849,945824,390290,699053,298637,834455,778581,427327,512121,51116,992746
220,1029186,736356,498387,758857,316337,276154,848707,449009,116225,89892,90306,628431
221,738720,698627,675853,1037154,360931,1009977,287040,125339,631495,133728,890004,157563
222,657528,151485,214861,155564,653695,408868,552744,764764,728898,781948,242075,1033179
223,619910,560571,529782,73583,820736,605277,1009854,726009,561528,752278,4265,372544
224,924733,384827,827111,1034545,159335,229417,95387,677018,471579,339609,571688,767595
225,18730,829936,292265,635162,120402,924766,679977,130490,435412,626564,262824,183162
226,64570,469985,913510,126913,323083,50727,83461,754977,838774,179453,906893,877381
227,810760,33040,778509,766424,599288,336766,385601,476112,256411,17504,1035425,31629
228,923615,1000336,159448,197116,185699,653360,926747,596677,342308,378280,981627,949893
229,627152,883806,488289,150133,1004087,67873,16856,968290,78745,936544,171772,220752
230,990274,367068,833765,739873,288808,886921,166415,52349,987539,558746,771337,644342
231,671233,675399,686133,110799,536420,830684,535784,489344,294845,740994,803208,415128
232,142321,523309,91595,862967,301319,533073,727640,988842,463986,582678,628656,213564
233,23450,448790,669944,355843,567440,332763,1002723,623431,273928,802520,148480,229720
234,733353,872852,769705,35742,475313,510210,885831,778049,535912,253660,276310,562298
235,287031,256774,268370,42297,425032,278225,235623,728809,730787,750964,351800,205809
236,937345,353642,965147,640884,162331,939463,429171,404752,115053,481386,888288,738615
237,169296,993490,1004513,268316,404209,288553,315561,264188,771041,208206,609191,260418
238,990022,732175,823609,286412,297226,455521,308679,426134,700176,915612,232619,865018
239,12372,770971,90527,552907,77190,296692,720005,389636,30968,342844,241473,691828
240,405385,334988,436238,650394,537977,775132,145733,341727,529952,806465,900238,240859
241,52735,206189,296869,288606,693275,240879,3865,614858,454375,385126,918434,891104
242,874878,335620,744508,509674,48284,101660,1047343,418190,618334,130084,914580,533640
243,225802,115684,346295,332064,204630,387487,197913,755896,291526,107066,453946,651975
244,733343,82445,930228,255691,25499,409305,133890,638449,840806,730190,1014598,943651
245,618973,1018150,964881,974982,447256,400265,806231,632706,157764,563354,472193,968350
246,51097,101513,748611,703377,946333,889518,647622,666639,898208,658182,398871,184885
247,975097,352673,661424,673984,484298,918432,537325,956378,1022123,194565,1000374,254301
248,47185,43105,144125,507972,529855,965842,3615,992018,132312,1036896,277446,966968
249,413705,488033,816540,942234,488517,872442,333759,741852,812064,258829,476948,607705
250,102228,323622,178913,796865,720939,242462,715922,200935,866412,521822,944165,669828
251,754169,148973,637453,179601,989306,1017703,481849,359843,829784,72699,762697,377304
252,151109,451571,832167,36533,876674,515958,265854,262287,239321,838412,791686,945214
253,473804,453149,667598,230876,499471,332195,452844,483301,422214,439398,917428,212177
254,74706,692895,76461,798493,502281,257353,325600,823609,488358,533386,854351,304351
255,459770,1004823,478548,500411,989839,794527,925576,606469,241876,506661,43886,355558
256,95919,557363,830172,193244,684711,841058,767915,197696,28423,301949,916286,600647
257,665416,105699,1009253,961140,917570,348305,130253,883005,1016758,354170,1010154,22441
258,312878,612230,959143,486777,211249,1016671,370371,676851,575713,377189,901969,534403
259,700094,482849,1036904,1045153,677020,213610,120580,388595,796227,55690,884867,654213
260,954219,970362,958625,236790,659338,947107,405401,917462,63454,219118,1031409,353117
261,998653,907207,789394,903633,101685,744409,206499,1019668,383443,950838,760260,290890
262,676386,599325,984249,213925,948790,167676,848336,199512,27103,719306,105090,168530
263,249321,629512,927996,957148,167161,223031,254951,731046,180818,1026600,632863,478609
264,380381,738323,243164,592836,778245,844786,241559,54349,489584,157812,219217,887950
265,209520,840613,345006,535215,47988,2828,130634,409612,787694,839679,504562,296330
266,714382,745222,344758,34372,108623,581176,476704,637391,126573,767196,337273,848481
267,743675,443950,962597,1035416,241853,419860,506253,514169,189410,731981,167028,565213
268,626451,312500,997585,246283,294091,128062,557656,121106,940854,634005,993597,795609
269,20061,665110,711532,112538,313445,347626,879219,626080,1046188,815135,979937,85252
270,98624,1038241,256049,135912,422539,920209,129972,431543,382743,957474,49981,794266
271,401192,527375,604775,325598,523243,948789,464686,723808,395878,344984,464790,835778
272,687215,853218,646372,854368,392284,773715,548440,546290,989601,3674,685122,232784
273,60175,1038765,26579,515296,1039975,866193,576278,974968,627334,877375,854825,780571
274,115078,921715,782601,385993,718722,98929,944350,755072,365677,449283,582627,701735
275,625507,427975,57487,781251,948745,706438,58935,852489,496218,170388,64716,462984
276,1022954,945930,412567,719737,1032822,490392,130301,611528,85521,547927,52988,712498
277,194038,449947,305095,392276,497824,335726,328933,467073,378867,689356,267433,35417
278,44697,268928,535865,202930,698631,974958,690966,601796,18644,590492,958573,64939
279,600589,378319,750958,774923,150386,250052,1000716,659123,892758,751272,1000931,41911
280,886542,847069,678008,781260,510736,753247,820352,135476,145247,367956,545579,605722
281,941444,1032488,121189,299251,195401,648220,834022,827924,812272,92489,504575,546107
282,955605,271266,670094,329541,881310,614983,6246,846620,491735,352938,205434,397988
283,903710,759677,57315,682005,952859,282185,775078,779499,306932,579368,83814,937097
284,533248,427188,866757,29080,783750,500303,150436,181659,221165,10060,253485,617046
285,746183,777398,445060,285969,692900,234016,664712,366049,974082,202464,20409,85107
286,782172,772380,725560,965833,897422,474212,307022,873029,396381,603385,711118,856371
287,667580,416766,898739,337177,90963,180945,315111,269174,840009,608912,349026,248059
288,532037,520028,708566,620427,351209,371854,501217,493770,145313,964468,610623,50877
289,541703,665743,738554,176568,75030,25108,61568,17965,1039869,64700,94965,613727
290,498053,359084,468742,930547,402196,67540,608296,372312,98545,229725,318114,182653
291,459830,531055,166699,992676,143580,1031273,432395,117323,770393,189548,220895,50402
292,316802,998934,392648,355979,946159,796678,106808,724568,331238,981472,322252,1021354
293,767683,739873,1047486,321002,454063,638826,580046,663264,23359,780688,764728,1024633
294,67860,948563,75015,801811,474682,330811,752530,879920,793251,693295,805147,640181
295,742977,103861,733321,446279,143333,587760,24591,348927,451917,937362,195315,820293
296,7553,593629,950915,177451,596894,895019,473550,251485,597194,116269,864783,904670
297,795878,1020362,80201,858169,729226,668110,796929,360714,869084,1029026,279842,356959
298,262848,57697,1014727,404387,944260,1035890,50351,270620,451417,164273,110776,438522
299,233694,284608,698349,305575,716635,467979,207965,830504,951975,707978,290650,938254
300,410820,196447,437609,121087,480551,877076,724386,480087,769696,760966,650037,343435
301,93277,806821,796639,687627,374730,943326,586733,277081,545877,673110,1010600,532682
302,564019,478823,386492,525543,754097,630625,402254,562190,543659,926378,670436,45171
303,167703,589739,990636,352709,40074,1015524,118627,908174,602650,119830,753471,13450
304,49627,636766,299763,945272,68192,397495,745855,970080,1018783,90811,177432,662753
305,556208,177455,153453,947470,815644,486538,623816,332150,840489,219466,185836,160403
306,335158,383160,982038,676160,683599,7178,250328,431936,498028,766804,508042,823248
307,274419,945096,1003920,233626,386934,828297,574199,787541,83235,377547,99891,858200
308,255961,1021538,8188,472865,51606,618049,166206,669857,458882,555552,710179,857071
309,991487,677063,734532,919560,612431,492521,956900,272300,626042,878782,1027022,899022
310,489175,45494,240338,873369,879397,586385,1030339,173248,193674,1043877,855383,899931
311,551127,245634,920065,290117,302321,260267,715276,482673,165985,642732,497008,510864
312,816193,879724,833317,189600,771758,378764,13621,228867,959553,156546,342754,791877
313,375643,948065,700216,127054,714826,926376,506765,121802,995800,469292,156413,1022867
314,532499,644593,92903,52512,11332,781945,116276,814863,391373,47496,150987,384299
315,672977,462499,16865,990449,27122,236498,420008,1037772,150549,480750,960794,156921
316,184309,435474,936558,380862,166195,770712,492696,649922,721352,361054,1021968,626499
317,797991,381286,1000873,96260,1009843,217658,68373,940164,652603,676743,739757,377848
318,609402,495256,791826,417162,452814,525781,363412,544119,34201,291714,346134,1044674
319,234431,487381,716701,980027,394673,759535,802542,852124,68291,386673,203055,220535
320,769398,625753,233610,240703,670812,838564,672020,918685,247580,745199,737914,564587
321,337817,179145,271603,436328,474098,259563,1015318,700899,264114,971433,50914,666850
322,188101,916759,702913,287498,248513,409430,467480,548471,244589,706467,683668,722905
323,13731,295782,385788,153999,486122,800070,111057,1034788,572220,242635,810201,477871
324,861632,499337,137544,412432,1027252,285154,239006,407568,930272,801548,995897,300075
325,335069,939602,573275,986734,396377,599329,328970,886383,667439,252366,143216,10937
326,7922,455008,499427,934413,575417,662896,794033,922166,231645,484624,13402,903260
327,1002550,1025479,46504,7290,492949,475726,529495,394775,314328,48783,598109,588480
328,601901,337151,704070,685347,856278,962054,1009273,543152,474073,474941,128111,914207
329,697222,202859,399644,931854,582218,267867,853226,105319,907015,153411,73105,657015
330,919808,83520,707132,251253,325392,442885,637023,481846,930631,238822,204086,1042186
331,304760,907098,422588,977697,468683,936756,580471,642892,802667,927650,491,752677
332,867769,893093,66754,892809,567683,661895,185673,727104,911898,207902,296562,588602
333,918569,545169,882173,328496,40441,528441,738465,479657,21467,924582,739811,450954
334,1034279,605454,482757,689193,877797,561588,131672,207950,221982,951081,641122,83639
335,482976,426729,162355,220573,90439,212184,110737,308885,1043503,960461,581479,248827
336,421927,112117,665201,886792,311053,890744,363985,859418,374840,45662,530788,267705
337,864114,681806,82231,837257,174579,437339,173266,525412,266427,38844,179531,418032
338,233941,293826,112969,661196,1016972,46318,582607,892027,229425,770158,446581,368977
339,734225,819639,113139,91290,907801,194801,37544,497453,526800,469160,433922,337607
340,349199,949437,648319,836239,473036,390252,47160,171812,540455,837585,143498,1037294
341,5658,14937,456059,729333,640560,528962,393786,91584,234685,879086,493682,425665
342,632742,963151,178705,458715,842149,346421,60832,123670,994960,381212,128052,880871
343,123166,478995,990946,696887,21326,822101,425960,547328,289639,1006711,799714,522144
344,383455,505614,826174,615348,81048,1012301,774743,953633,209482,362253,163227,321265
345,787887,420684,955035,104396,867939,314269,825045,207449,277640,991076,1040650,549275
346,959675,1040306,187296,928134,356096,673617,790836,426764,542444,632864,417554,305130
347,398279,1012988,27668,622985,735377,752525,970553,166420,625694,808529,487190,808730
348,159087,916353,337008,533224,734761,36640,410356,426730,191335,731846,1012104,895008
349,1046868,388749,101353,259830,983993,957353,997934,1017347,421532,653827,645909,965538
350,826201,864960,877167,683023,308205,57093,235452,944834,484830,167634,470827,1012032
351,558265,1026972,388484,875753,115392,425494,941977,869787,780665,331216,577687,423804
352,855957,54894,363135,451035,394496,331108,305374,913136,1004847,777924,356431,869141
353,420394,105371,511208,76895,204178,1011992,319256,700743,929788,433140,827475,524880
354,629942,955206,626148,809824,1042903,254707,63875,681874,360964,620335,621196,1001943
355,825418,371880,721084,63487,683794,340336,686157,828404,228949,579182,855112,402117
356,968180,832965,928507,434465,178013,798466,567744,1016837,505885,4554,623042,123559
357,807735,622663,810849,48283,95879,747286,822589,421034,434672,844791,1029387,434297
358,927382,834603,894433,697366,727834,829514,532206,643335,757841,404666,840204,975605
359,658325,340768,504110,418268,859025,315305,800014,561379,338901,830269,728262,827111
360,178646,393334,143082,836640,462045,441090,239144,836132,797864,187764,240467,609246
